trade_date,scope,level1_industry_name,turn_daily_std
2013-01-24,行业,银行,0.8698273552598431
2013-01-24,行业,非银行金融,5.403455007444205
2013-01-24,行业,食品饮料,2.275600099216223
2013-01-25,全A,全A,2.865348322330564
2013-01-25,行业,交通运输,1.3487862087626077
2013-01-25,行业,传媒,5.7283212427846415
2013-01-25,行业,农林牧渔,2.471092980519555
2013-01-25,行业,医药,3.009201222641884
2013-01-25,行业,商贸零售,2.1877957025520605
2013-01-25,行业,国防军工,4.166126926430091
2013-01-25,行业,基础化工,3.082805691234354
2013-01-25,行业,家电,1.7689941254253712
2013-01-25,行业,建材,2.007480903596871
2013-01-25,行业,建筑,2.5005054725934395
2013-01-25,行业,房地产,2.2759189394494155
2013-01-25,行业,有色金属,3.6401459270952294
2013-01-25,行业,机械,1.9944150426041192
2013-01-25,行业,汽车,2.7267333412512706
2013-01-25,行业,消费者服务,1.0584381535787621
2013-01-25,行业,煤炭,0.7160600134506208
2013-01-25,行业,电力及公用事业,3.977952215263924
2013-01-25,行业,电力设备及新能源,2.016677318349194
2013-01-25,行业,电子,2.402454850098598
2013-01-25,行业,石油石化,1.928755029195532
2013-01-25,行业,纺织服装,2.3139282615703274
2013-01-25,行业,综合,2.199872758062763
2013-01-25,行业,综合金融,10.470352619658996
2013-01-25,行业,计算机,2.3353625724618086
2013-01-25,行业,轻工制造,3.5358008169207715
2013-01-25,行业,通信,1.8346111154994045
2013-01-25,行业,钢铁,0.9207289644873154
2013-01-25,行业,银行,0.4894583376464913
2013-01-25,行业,非银行金融,2.7007334298041688
2013-01-25,行业,食品饮料,1.6627915856237527
2013-01-28,全A,全A,2.6170492096699007
2013-01-28,行业,交通运输,1.4559117007273017
2013-01-28,行业,传媒,4.448458206267562
2013-01-28,行业,农林牧渔,2.8717753125331034
2013-01-28,行业,医药,2.1279757256675467
2013-01-28,行业,商贸零售,1.7088467106640575
2013-01-28,行业,国防军工,3.4824300693993564
2013-01-28,行业,基础化工,2.547093517049967
2013-01-28,行业,家电,1.5314647664124763
2013-01-28,行业,建材,2.4606225975138174
2013-01-28,行业,建筑,3.0701846575698633
2013-01-28,行业,房地产,1.8010510515647726
2013-01-28,行业,有色金属,3.2031558453803286
2013-01-28,行业,机械,2.084769043764243
2013-01-28,行业,汽车,2.6762741441978544
2013-01-28,行业,消费者服务,1.9222947055696156
2013-01-28,行业,煤炭,0.8870321372362555
2013-01-28,行业,电力及公用事业,3.66169892075189
2013-01-28,行业,电力设备及新能源,2.0732678619168796
2013-01-28,行业,电子,2.4394052813917138
